Data	Doy	Tx	Tn	Rs	U2	URx	URn	P	Rn
6/17/2018	168	25.6	17.5	6.32	0.02	95.8	67.8	12	
6/18/2018	169	25.3	17.4	7.59	0.07	96	67.9	1	
6/19/2018	170	26.7	15.4	10.86	0.07	96.4	61.4	0	
6/20/2018	171	29.6	13.1	12.94	0.08	96.5	56.9	1	
6/21/2018	172	30.8	13.5	12.75	0.06	96.2	51.6	1	
6/22/2018	173	31.1	14.9	12.75	0.12	95.8	55.8	1	
6/23/2018	174	29.8	14.6	11.75	0.09	95.8	56.8	0	
6/24/2018	175	32.3	15.3	10.89	0.11	94.9	50	0	
6/25/2018	176	30	13.2	12.38	0.09	95.7	57.7	1	
6/26/2018	177	33.8	15.1	12.68	0.15	94.5	38.1	0	
6/27/2018	178	29	13.8	10.42	0.07	95.6	58.3	1	
6/28/2018	179	31.2	14	12.37	0.13	96.1	52.4	0	
6/29/2018	180	30.2	12.1	12.13	0.09	95.1	45.2	0	
6/30/2018	181	31.4	14.2	12.27	0.09	95.7	44.3	1	
7/1/2018	182	29.4	13.6	12.42	0.07	95.7	56.4	1	
7/2/2018	183	31.9	14.7	12.33	0.07	96.2	53.4	0	
7/3/2018	184	33.2	15.8	11.87	0.11	94.8	47.6	25	
7/4/2018	185	27.4	17.2	8.25	0.05	95.6	65.5	0	
7/5/2018	186	31.4	15.9	12.92	0.11	96.3	58.5	1	
7/6/2018	187	32.1	14.7	12.9	0.11	95.7	45.7	1	
7/7/2018	188	30	12.3	12.9	0.12	95.8	52.8	0	
7/8/2018	189	33	13.4	12.76	0.14	95.2	36.6	1	
7/9/2018	190	30.3	14.4	12.24	0.12	94.6	50.5	0	
7/10/2018	191	20.2	15.1	1.45	0.07	95.4	88.9	116	
7/11/2018	192	22.4	13.9	7.27	0.08	95	59.5	26	
